year_month,total_consumption,total_days,avg_daily_consumption,counted_supplies,postcode_count,area_count,new_connections,reservoir_total_mean,reservoir_total_std,production_total_mean,production_total_std,interruptions_total,emergency_interruptions,planned_interruptions,chlorine_mean,chlorine_std,turbidity_mean,turbidity_std,year_month_str,consumption_available,PC1,PC2,iforest_label,iforest_score,mahalanobis,mahalanobis_anomaly,cluster_month_kmeans,cluster_month_hierarchical,cluster_month_dtw,cluster_month_feature
2024-02,14832546.0,59570742.0,1.4820929772502471,2198975.0,288.0,575.0,856.0,26384347000,209451918.80414143,29111667,158348.6573426832,416,389,27,0.40943000838222965,0.07658602488792653,,,2024-02,1,0.45295539643643185,-0.4358226212791107,1,0.06484105296848819,2.362385870451815,0,0,0,0,0
2024-03,16665725.0,63428525.0,3.1411469047156997,2215959.0,293.0,581.0,682.0,28761703000,202525360.13323998,31422375,158455.88755955576,397,379,18,0.399674126423243,0.07263806239686692,,,2024-03,1,1.7584790339690421,0.3255102440244799,1,0.1068826840756889,1.9033046097370863,0,0,0,0,0
2024-04,18438955.0,62075580.0,3.3891761090839254,2228376.0,281.0,559.0,1003.0,27449479000,192751603.83613747,33525804,175375.13049588035,387,369,18,0.40010865347303065,0.07122750701138769,,,2024-04,1,1.1076565809403225,0.8453657461539468,1,0.084366811205278,2.4933003375882032,0,0,0,0,0
2024-05,17826787.0,63624385.0,1.8049913378248317,2203857.0,288.0,573.0,823.0,27329868000,179718647.3764911,34657064,172078.47417570834,339,325,14,,,0.23689111747851002,0.11828630110908658,2024-05,1,1.1015414349546884,0.03794272231261906,1,0.06331088266087626,2.743623114403896,0,0,0,0,0
2024-06,17850696.0,60775575.0,2.755227272727273,2213661.0,282.0,557.0,922.0,25074591000,173934079.14190912,38228283,188108.97465312443,389,364,25,,,0.2545946666666667,0.15600288278336438,2024-06,1,0.855966083120015,0.6936923823465563,1,0.060441642669355644,2.124531979301221,0,0,0,0,0
2024-07,16509244.0,48683955.0,3.7430438215554673,2015869.0,278.0,542.0,1131.0,24005318000,163032474.66468164,39811371,186960.09704413635,478,465,13,,,0.24100000000000002,0.13469803932408525,2024-07,1,0.3133027225849794,0.0011050057258893508,1,0.000961085523951577,3.7158028332998616,0,0,0,0,0
2024-08,8722486.0,28407657.0,1.963996901626646,1225424.0,269.0,496.0,555.0,22083766000,147470868.39229432,37048536,175875.21320460137,449,444,5,,,0.20525396825396827,0.11165830321752755,2024-08,1,0.7141523543893911,-3.8358762629879477,-1,-0.012008345252267238,4.047649846767775,1,0,0,0,0
2024-09,2475654.0,7492594.0,1.6465797317436661,604200.0,261.0,409.0,892.0,19822878000,134135003.59434378,35832794,192042.7237661341,461,450,11,,,0.2202418952618454,0.13053516323350958,2024-09,1,-0.3181627013784968,-4.678954375858772,-1,-0.013035424986361677,4.952833115987143,1,0,0,0,0
2024-10,17301479.0,63967721.0,1.858486404259365,2259441.0,280.0,557.0,1019.0,19089479000,122205304.55267975,35488577,191687.27437996294,474,457,17,,,0.23524607329842934,0.11963159623009952,2024-10,1,-0.4342723308733017,-0.6268963266681085,1,0.11294772151137489,2.012517107931838,0,0,0,0,0
2024-11,16806610.0,62671079.0,2.734284899201217,2246864.0,282.0,563.0,1081.0,17305893000,112733903.32488675,32312336,174694.34549597706,495,474,21,,,0.21506527415143603,0.12500141745946286,2024-11,1,-0.5381631100490174,-1.0116904784190097,1,0.05728664350834256,2.875111888009469,0,0,0,0,0
