ΤΚ,Περιοχή,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,cluster_post_kmeans,cluster_post_hierarchical,cluster_post_dtw,cluster_post_feature
16674,ΑΓ. ΝΙΚΟΛΑΟΣ,-0.5458027832781449,-0.8146451735147358,-0.22575231871077492,-0.21178648025692604,-0.09307685339921062,-2.9168918007760425,1.2837220541760574,1.2907049734029818,0.42676268904960857,0.22348215155469717,0.23085301073867298,-0.40924791839606706,-0.5562771621185316,-0.7401607017608751,0.10865192426749533,0.17343789709507204,0.3049495425354823,1.0645359784420405,1.7217062656870403,1.7275253650428106,-1.7689774678610755,0.6610784231086285,0.4950401214906475,-0.18812214287679324,-0.42243787693581325,-0.74442804128844,-0.07484367541779681,1,1,0,0
16674,ΓΛΥΦΑΔΑ,-0.2617766917549944,-0.8039511713261847,-0.3221090429932873,-0.2974044253965582,0.2142806087659967,-2.042210578664165,0.6298354160542271,1.0446075701679054,0.3388585771153425,1.0733275388340753,-0.13280905994837852,-0.5034463806971016,0.07592113886475653,-0.5788873410441377,0.26787533702336347,0.5850880715091875,0.11763995590826869,0.7417207916162727,2.5698284653753296,0.18947390597258693,-2.957880764491138,0.6213623447297291,0.31619566345222744,0.24041441911625552,-0.3515776364351156,-0.6832524404507053,-0.09112427130375994,1,1,0,0
16674,ΚΑΡΒΕΛΑΣ,-0.2578477068919704,-0.6377321559545155,-0.02292834128772064,-0.05957638216199839,-0.1937717453633706,-3.3740933812333047,0.8399664392975463,0.8357050391958862,0.33626894728131035,0.41351650912413257,-0.5837285946662034,-0.19710338544285042,-0.09684426305106308,-0.42404231085671834,0.310468106665804,0.3518424276528322,0.47410587056955583,0.9127201610331633,1.4055704527906279,1.3390151312028804,-2.305179275733229,0.8198216388169709,0.6544018348707066,0.028363419935898537,-0.1899752252728006,-0.5598647540969063,0.18092154357533383,1,1,0,0
16674,ΣΑΜΙΩΝ ΙΚΑΡΙΩΝ,-0.08994629904441759,-0.3874838909165148,0.11913417091975882,0.006552379400586911,0.2880068581985167,0.5614197804593628,0.6981262415897859,0.6418353458301999,0.32017308434685154,0.4488379889401909,-3.49956627076791,-0.21861120363775693,-0.24273587324900806,-0.4598578997502682,0.13521728399392624,0.21563284936476332,0.34429775395810264,0.85895737233146,1.2851598687968966,1.2851598687968966,-2.5667457124662,0.5935860066076977,0.46492110201435827,-0.08994629904441759,-0.16232030787817098,-0.492024125898603,-0.05778007289608276,1,1,0,0
16674,ΑΙΞΩΝΗ,-0.5301431856229488,-0.8276600311342113,-0.012623462013320009,0.014734408838290327,0.21535879508343278,-2.76550921645661,1.2811758470107522,1.2800359357252684,0.4615796327479258,0.32479027848987413,0.1617829646656959,-0.6190562658906824,-0.790042958713247,-0.9177130226874286,0.08882864239473498,0.26779471421568596,0.40002442333180255,1.0623128801978694,1.712062312923615,1.712062312923615,-1.646116334111554,0.615467656288234,0.4672791891753446,-0.2816425253874883,-0.6099369756068124,-0.925692401685815,-0.1391536147020178,1,1,0,0
16675,ΔΙΚΗΓΟΡΙΚΑ,-0.7505329111264363,-1.0320662442974178,-0.2641114404698118,-0.49655177248286403,0.18874644776251423,0.44923992329438317,0.7102343478176596,0.5223784760398694,0.17321702902888358,0.19375593767658864,-0.39836577016700575,-0.790107881447624,-0.7961192693445134,-0.7615537889374,-0.051709068113057095,-0.004118913929350267,0.37309567660045223,1.1470618683249474,1.590401725720532,-0.16141689723128652,-3.6865949497654436,1.3168835764120697,0.7593273489755887,0.6035322126478748,0.5714714771977986,-0.014638842748906512,0.6085417025619492,1,0,0,0
16675,ΒΟΣΠΟΡΟΣ,-0.2332024757647249,-0.5206961705208994,0.10185190429679218,-0.0647879595155831,0.2450663559438495,0.3268778332787856,0.8058565259620666,0.7077182462088787,0.34089758752924104,0.488371205024538,0.2787847522424132,-0.10613736129224277,-0.12264162895417131,-0.8907112035867167,-0.22716865747971873,0.14213651461139196,0.11640405427827756,0.9371808062827883,1.1380714621247572,0.4310499313169798,-4.384114525361591,0.8496904411501994,0.5664559122422644,-0.16203891305038784,-0.16381356548715434,-0.5734033478928648,-0.02769772358716304,1,0,0,0
16675,ΓΛΥΦΑΔΑ,-0.327531182266186,-0.763832555594555,-0.12467858022080824,-0.2450526517642192,0.11274769306307278,-0.957681142121435,0.9336429137082439,0.6270255891341597,0.7576712317787695,0.9150666680996928,0.0359950170898594,-0.3514399030847211,-0.19780342469870457,-0.5145174851212012,0.1126602754366796,0.37504428105581394,0.295144570532446,0.9211421931340189,1.640152170217937,0.04561095599310937,-3.914494937244407,1.0873668097206537,0.5915777416317246,-0.11405733861403669,-0.2767852501449441,-0.6869924619949483,0.024018802273993535,1,1,0,0
16675,ΚΑΡΒΕΛΑΣ,-0.09894450118173884,-0.48413774531715803,0.00046020698224030407,-0.12379567822273362,0.02531138402323509,-3.292320750949569,0.18684403478970119,0.1992696233101986,0.16199285774870642,0.3110999199946751,0.16199285774870642,-0.2604771519482049,-0.4592865682761632,-0.5338400993991476,0.5347605133636282,0.5720372789251204,0.7335699296915864,0.9820817001015343,1.4045517097984457,1.4045517097984457,-2.447380731555746,1.006932877142529,0.8329746378555656,0.02531138402323509,-0.1610724437842258,-0.5586912764401424,-0.12379567822273362,1,1,0,0
16777,ΧΑΣΑΝΙ,-0.6016869653357164,-0.8706463092552758,-0.6100130988716878,-0.6942836625387917,-0.28706004050673845,-0.428856617695099,-0.3286907081865952,-0.48411186752472707,-0.5981546662598498,-0.49294261521439364,-0.6604745142412111,-0.5292748342804504,-0.4291089247719466,-0.08269130826016892,0.45850737157796884,0.46027352111590214,1.6430890973775292,2.5228838743451685,2.830698508099261,-1.5405215982856981,-0.1112020079439496,1.3181175823977989,0.27558474086344675,-0.14526346331837786,-0.20682639006919631,-0.38192750140144227,-0.025417601815759937,1,1,1,1
